dataset,fbg,impact_id,start_time,peak_time,end_time,duration,num_samples,sampling_frequency_hz,wavelet,decomposition_level,wavelet_energy,approximation_energy,detail_energy,wavelet_entropy
expert9,FBG2,expert9-FBG2-037,59.759402,60.89939,61.639382,1.8799799999999962,95,50.00250012500989,db4,3,0.20331475330862195,0.2032952541172778,1.9499191344148382e-05,0.0015151133586645059
expert9,FBG2,expert9-FBG2-038,61.93938,62.039379,62.339375,0.399994999999997,21,50.00250012500989,db4,3,0.039426468833014774,0.03942630740038707,1.614326277017614e-07,7.919040939991324e-05
expert9,FBG2,expert9-FBG2-039,63.199367,64.379355,65.159347,1.9599799999999945,99,50.00000000000995,db4,3,0.20196600866877334,0.20194145438310565,2.455428566768204e-05,0.0018635613089875622
expert9,FBG2,expert9-FBG2-040,66.359335,66.559333,66.759331,0.3999960000000016,21,50.00000000000995,db4,3,0.040711249156578665,0.04071109563524899,1.535213296763942e-07,7.338072210486944e-05
expert9,FBG2,expert9-FBG2-041,67.339325,68.219317,68.279317,0.9399920000000037,48,50.00000000000995,db4,3,0.09746826343941412,0.09746653799334168,1.7254460724343753e-06,0.000322017902930692
expert9,FBG2,expert9-FBG2-042,69.399305,69.8993,70.099298,0.6999930000000063,36,50.00000000000995,db4,3,0.08134403456485108,0.08133953707955016,4.497485300910906e-06,0.0008885089084754101
expert9,FBG2,expert9-FBG2-043,70.579293,71.779281,72.339275,1.7599819999999937,89,50.00000000000995,db4,3,0.19293236795723606,0.19292014201302288,1.22259442131838e-05,0.0010547383615596966
expert9,FBG2,expert9-FBG2-044,72.83927,73.039268,75.019249,2.179979000000003,110,50.00000000000995,db4,3,0.21632934146481336,0.21629609983562903,3.3241629184325384e-05,0.002303419235913934
expert9,FBG2,expert9-FBG2-045,75.319246,75.519243,75.85924,0.539993999999993,28,50.00250012500989,db4,3,0.06900012109107738,0.06899834105513833,1.7800359390454776e-06,0.0004510084065969584
expert9,FBG2,expert9-FBG2-046,77.379225,78.739211,81.299186,3.9199610000000007,197,50.00000000000995,db4,3,0.35239541317501866,0.3523484093642893,4.7003810729388026e-05,0.0020366207355530137
expert9,FBG2,expert9-FBG2-047,81.81918,82.019179,82.519174,0.6999940000000038,36,50.00000000000995,db4,3,0.08255776245756358,0.0825567409391729,1.021518390685696e-06,0.0002316601057440214
expert9,FBG2,expert9-FBG2-048,82.83917,83.039168,83.679162,0.8399920000000094,43,49.99999999997442,db4,3,0.09226943440539834,0.09226665305415674,2.7813512416044552e-06,0.0005258931013914725
expert9,FBG2,expert9-FBG2-049,84.239156,84.439154,84.639152,0.3999960000000016,21,49.99999999997442,db4,3,0.04144593107941983,0.0414455592333759,3.71846043927324e-07,0.00016336682957117493
expert9,FBG2,expert9-FBG2-050,84.87915,85.539143,85.739141,0.8599910000000079,44,49.99999999997442,db4,3,0.0935319665090729,0.09353010589680152,1.8606122713846107e-06,0.0003558149293176235
expert9,FBG2,expert9-FBG2-051,85.999139,86.679132,87.299126,1.2999870000000016,66,50.00250012500989,db4,3,0.16269283793804096,0.16266228286926018,3.055506878076377e-05,0.0027461941989176753
expert9,FBG2,expert9-FBG2-052,87.499124,88.339115,88.91911,1.4199860000000086,72,50.00250012500989,db4,3,0.17563243674827697,0.17562122851036455,1.1208237912434423e-05,0.0010432515014543494
expert9,FBG2,expert9-FBG2-053,89.399105,89.599102,90.219096,0.8199909999999875,42,50.00250012500989,db4,3,0.09053113155893631,0.09053004002739212,1.0915315441967062e-06,0.00022626620985795066
expert9,FBG2,expert9-FBG2-054,90.639092,90.959089,91.159087,0.5199949999999944,27,50.00000000000995,db4,3,0.051368181276132525,0.05136784695379046,3.343223420697688e-07,0.00012152377725182083
expert9,FBG2,expert9-FBG2-055,91.399085,91.719081,91.799081,0.3999960000000016,21,50.00250012500989,db4,3,0.0416524303613848,0.04165214452228305,2.858391017464173e-07,0.00012761149737541459
expert9,FBG2,expert9-FBG2-056,92.059078,92.959069,93.159067,1.0999889999999937,56,50.00000000000995,db4,3,0.1566747062598118,0.156663933640506,1.0772619305815494e-05,0.001127799715979794
expert9,FBG2,expert9-FBG2-057,93.639062,94.259056,94.459054,0.8199919999999992,42,49.99999999997442,db4,3,0.0896934846297239,0.08969195872906137,1.525900662528384e-06,0.0003109046614818166
expert9,FBG2,expert9-FBG2-058,94.679052,94.979049,95.079048,0.3999960000000016,21,50.00000000000995,db4,3,0.04091815007716023,0.04091697293866282,1.177138497411377e-06,0.0004754750849622683
expert9,FBG2,expert9-FBG2-059,95.219046,95.419044,95.719041,0.4999949999999984,26,50.00000000000995,db4,3,0.04678735880258153,0.046787100043414756,2.587591667730031e-07,0.00010456495896851581
expert9,FBG2,expert9-FBG2-060,96.339035,96.539033,96.739031,0.3999960000000016,21,49.99999999997442,db4,3,0.04319508298571851,0.04319445332046112,6.296652573903214e-07,0.0002552272339663363
expert9,FBG2,expert9-FBG2-061,96.899029,96.999028,98.959009,2.059979999999996,104,50.00000000000995,db4,3,0.23023629897029135,0.23021058053341903,2.5718436872311588e-05,0.0017330264350084023
expert9,FBG2,expert9-FBG2-062,99.279006,99.479004,99.839,0.5599940000000032,29,49.99999999997442,db4,3,0.07245372454006141,0.07245157728652657,2.147253534840116e-06,0.0005181659062713437
expert9,FBG2,expert9-FBG2-063,100.138997,101.618982,103.958959,3.8199619999999896,192,50.00000000000995,db4,3,0.36367153294403554,0.3636332236567772,3.830928725834577e-05,0.0016367504687172696
expert9,FBG2,expert9-FBG2-064,104.338955,105.258946,105.458944,1.119989000000004,57,50.00000000000995,db4,3,0.15661216015017673,0.15659670720327465,1.5452946902083192e-05,0.0015334706549085062
expert9,FBG2,expert9-FBG2-065,105.91894,106.938929,107.738921,1.8199809999999985,92,50.00250012500989,db4,3,0.2070863619214654,0.2070637288908083,2.2633030657103343e-05,0.0017119361040342385
expert9,FBG2,expert9-FBG2-066,108.218916,108.558913,108.758911,0.5399950000000047,28,49.99999999997442,db4,3,0.07173758494387077,0.0717347904460239,2.7944978468581906e-06,0.0006571277227766698
expert9,FBG2,expert9-FBG2-067,108.958909,108.978909,109.358905,0.39999599999998736,21,50.00000000000995,db4,3,0.042609609784261156,0.04260927570265566,3.34081605498617e-07,0.00014429155216346068
expert9,FBG2,expert9-FBG2-068,109.638902,109.8389,110.478894,0.8399919999999952,43,50.00000000000995,db4,3,0.09937636853283723,0.09937266020817852,3.708324658707094e-06,0.0006241763672971876
